,Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
0,Vinicola de Castilla,2022,6151295,Palacio del Marques 2022,3.5,64,2.0,España,La Mancha
1,Calabuig,2022,3957265,Tinto 2022,3.6,2294,2.85,España,Valencia
2,Finca Vieja,2021,1243721,Crianza 2021,3.2,939,2.9,España,La Mancha
3,Finca Venta de Don Quijote,2023,1374696,Red Blend 2023,3.0,64,2.96,España,La Mancha
4,Castillo de Liria,2021,1643745,Bobal - Shiraz 2021,3.3,138,3.1,España,Valencia
5,Las Campanas,2021,7528321,Selección Especial 2021,3.7,185,3.25,España,Navarra
6,Dominio de Eguren,2022,1207654,Protocolo Tinto 2022,3.6,98,3.44,España,Castilla
7,J. Fernando,2022,8995849,Barrica 6 Meses Tempranillo 2022,3.6,59,3.47,España,Castilla
8,Schenk Spanish Wineries,2023,1884409,Vega Libre Tinto 2023,3.0,3325,3.5,España,Valencia
9,Canforrales,2023,1252277,Clásico Tempranillo 2023,3.5,1294,3.5,España,La Mancha
10,Valcarlos,2021,1546447,Fortius Roble 2021,3.5,69,3.55,España,Navarra
11,Dominio de Eguren,2021,1207654,Protocolo Tinto 2021,3.6,270,3.69,España,Castilla
12,Don Frutos,2022,1835508,Tinto 2022,3.0,39,3.71,España,Castilla y León
13,Los Hermanos Manzanos,2020,1657531,Tempranillo 2020,3.6,194,3.79,España,Rioja
14,Marqués de Griñon,2023,7827926,Tinto 2023,3.2,129,3.81,España,Rioja
15,Calabuig,2023,3957265,Tinto 2023,3.6,2294,3.85,España,Valencia
16,Empordàlia,2023,1698923,Verdera Negre 2023,3.1,943,3.9,España,Empordà
17,Bodega Pirineos,2024,12317744,Colección Monovarietal Montesierra Garnacha 2024,3.6,56,3.9,España,Aragón
18,Volver,2023,5882466,Espeto Tinto 2023,3.5,32,3.9,España,Castilla
19,Hoya de Cadenas,2022,4662725,Shiraz Crianza 2022,3.4,528,3.99,España,Utiel-Requena
20,Hoya de Cadenas,2021,2439929,Merlot 2021,3.2,277,3.99,España,Utiel-Requena
21,J. Fernando,2022,9001131,Barrica 12 Meses Tempranillo 2022,3.7,139,3.99,España,Castilla
22,Hoya de Cadenas,2021,6117701,Cabernet Sauvignon Crianza 2021,3.4,2071,3.99,España,Utiel-Requena
23,Ramón Roqueta,2023,1489241,Synera Tinto 2023,3.0,1827,4.0,España,Cataluña
24,El Circo,2023,1461554,Contorsionista Cabernet Sauvignon 2023,3.3,1130,4.0,España,Cariñena
25,El Circo,2023,2137289,Volatinero Tempranillo 2023,3.5,5013,4.0,España,Cariñena
26,Bodega Sommos,2023,4171137,Glárima Merlot - Tempranillo 2023,3.6,70,4.05,España,Somontano
27,Félix Solís,2021,3349567,Casa Albali Tempranillo - Shiraz 2021,3.6,121,4.1,España,Valdepeñas
28,Bodegas Ayuso,2020,2198505,Estola Crianza 2020,3.5,52,4.11,España,La Mancha
29,Hoya de Cadenas,2020,1437851,Reserva Tempranillo 2020,3.5,510,4.15,España,Utiel-Requena
30,Bodegas Faustino,2022,1129392,VII Tempranillo 2022,3.6,1278,4.15,España,Rioja
31,Félix Solís,2019,1823360,Viña Albali Reserva 2019,3.6,1211,4.18,España,Valdepeñas
32,Bodegas Estéban Martín,2023,1242981,Vinem Garnacha - Syrah 2023,3.3,2263,4.2,España,Cariñena
33,Bodegas Aragonesas,2023,1577616,Coto de Hayas Tempranillo - Cabernet Sauvignon Roble 2023,3.4,4221,4.2,España,Campo de Borja
34,Falset Marçà,2021,1373160,Imus Selection 2021,3.4,152,4.22,España,Montsant
35,San Valero,2023,5314823,Origium Roble 2023,3.5,3433,4.25,España,Cariñena
36,Mesta,2023,2667414,Tempranillo Selección 2023,3.3,91,4.25,España,Uclés
37,Yugo,2024,1582563,Selección Tinto 2024,3.3,509,4.25,España,La Mancha
38,Félix Solís,2015,2667778,Casa Albali Crianza 2015,3.5,57,4.25,España,Valdepeñas
39,Cellers Domenys,2023,8519066,Capvespre Origen Negre 2023,3.3,61,4.25,España,Cataluña
40,Bodegas Vallobera,2014,1205627,Crianza Rioja 2014,3.6,628,4.26,España,Rioja
